word1	pos1	word2	pos2	wup_similarity	bert_split_class	freq1	freq2	bert_split_word1	bert_split_word2	xlnet_split_class	xlnet_split_word1	xlnet_split_word2	electra_split_class	electra_split_word1	electra_split_word2	fasttext_split_class
countermine	v	narrate	v	0.1666666666666666	2-split	0.0	2.79	['counter', '##mine']	['na', '##rra', '##te']	2-split	['▁counter', 'mine']	['▁', 'nar', 'rate']	2-split	['counter', '##mine']	['na', '##rra', '##te']	0-split
exhort	v	posit	v	0.1818181818181818	2-split	2.23	2.76	['ex', '##hort']	['po', '##sit']	1-split	['▁exhort']	['▁', 'posit']	2-split	['ex', '##hort']	['po', '##sit']	0-split
requisition	v	tout	v	0.1428571428571428	2-split	2.69	3.18	['re', '##qui', '##sit', '##ion']	['to', '##ut']	2-split	['▁', 're', 'quisition']	['▁to', 'ut']	2-split	['re', '##qui', '##sit', '##ion']	['to', '##ut']	0-split
genuflect	v	scoff	v	0.1818181818181818	2-split	1.71	2.78	['gen', '##uf', '##le', '##ct']	['sc', '##off']	2-split	['▁', 'gen', 'uf', 'lect']	['▁sc', 'off']	2-split	['gen', '##uf', '##le', '##ct']	['sc', '##off']	0-split
mumble	v	taint	v	0.1818181818181818	2-split	2.91	2.98	['mum', '##ble']	['tai', '##nt']	2-split	['▁', 'm', 'umble']	['▁', 'tain', 't']	2-split	['mum', '##ble']	['tai', '##nt']	0-split
purl	v	unteach	v	0.1818181818181818	2-split	2.24	0.0	['pu', '##rl']	['un', '##tea', '##ch']	2-split	['▁', 'pur', 'l']	['▁', 'unt', 'each']	2-split	['pu', '##rl']	['un', '##tea', '##ch']	0-split
customise	v	symbolise	v	0.1538461538461538	2-split	2.44	2.49	['custom', '##ise']	['symbol', '##ise']	2-split	['▁custom', 'ise']	['▁symbol', 'ise']	2-split	['custom', '##ise']	['symbol', '##ise']	0-split
excavate	v	litigate	v	0.1428571428571428	2-split	2.66	2.43	['ex', '##ca', '##vate']	['lit', '##igate']	2-split	['▁ex', 'ca', 'va', 'te']	['▁lit', 'i', 'gate']	2-split	['ex', '##ca', '##vate']	['lit', '##igate']	0-split
localise	v	reprimand	v	0.1818181818181818	2-split	1.8	2.9	['local', '##ise']	['rep', '##rim', '##and']	1-split	['▁local', 'ise']	['▁reprimand']	2-split	['local', '##ise']	['rep', '##rim', '##and']	0-split
admonish	v	slosh	v	0.1818181818181818	2-split	2.29	2.1	['ad', '##mon', '##ish']	['sl', '##osh']	1-split	['▁admonish']	['▁', 's', 'los', 'h']	2-split	['ad', '##mon', '##ish']	['sl', '##osh']	0-split
emphasise	v	solvate	v	0.1538461538461538	2-split	3.07	1.28	['emphasis', '##e']	['sol', '##vate']	2-split	['▁emphasis', 'e']	['▁', 'solv', 'ate']	2-split	['emphasis', '##e']	['sol', '##vate']	0-split
expound	v	mobilize	v	0.1818181818181818	2-split	2.49	3.18	['expo', '##und']	['mob', '##ili', '##ze']	1-split	['▁ex', 'pound']	['▁mobilize']	2-split	['expo', '##und']	['mob', '##ili', '##ze']	0-split
coapt	v	intonate	v	0.1818181818181818	2-split	0.0	0.0	['coa', '##pt']	['into', '##nate']	2-split	['▁co', 'ap', 't']	['▁into', 'nate']	2-split	['coa', '##pt']	['into', '##nate']	0-split
commentate	v	profane	v	0.1818181818181818	2-split	2.23	2.96	['comment', '##ate']	['prof', '##ane']	2-split	['▁comment', 'ate']	['▁pro', 'fan', 'e']	2-split	['comment', '##ate']	['prof', '##ane']	0-split
admonish	v	localise	v	0.1818181818181818	2-split	2.29	1.8	['ad', '##mon', '##ish']	['local', '##ise']	1-split	['▁admonish']	['▁local', 'ise']	2-split	['ad', '##mon', '##ish']	['local', '##ise']	0-split
adumbrate	v	reline	v	0.1428571428571428	2-split	1.07	1.28	['ad', '##umb', '##rate']	['re', '##line']	2-split	['▁a', 'dum', 'b', 'rate']	['▁', 're', 'line']	2-split	['ad', '##umb', '##rate']	['re', '##line']	0-split
prophesy	v	sever	v	0.1818181818181818	2-split	2.66	3.15	['prop', '##hes', '##y']	['se', '##ver']	2-split	['▁pro', 'phe', 's', 'y']	['▁', 's', 'ever']	2-split	['prop', '##hes', '##y']	['se', '##ver']	0-split
foment	v	prink	v	0.1666666666666666	2-split	2.4	1.05	['f', '##ome', '##nt']	['pri', '##nk']	2-split	['▁fo', 'ment']	['▁p', 'rink']	2-split	['f', '##ome', '##nt']	['pri', '##nk']	0-split
countermarch	v	sneer	v	0.1666666666666666	2-split	1.05	2.7	['counter', '##mar', '##ch']	['s', '##neer']	1-split	['▁counter', 'm', 'arch']	['▁sneer']	2-split	['counter', '##mar', '##ch']	['s', '##neer']	0-split
befool	v	contemporize	v	0.1818181818181818	2-split	0.0	0.0	['be', '##fo', '##ol']	['con', '##tem', '##por', '##ize']	2-split	['▁be', 'fo', 'ol']	['▁con', 'tempo', 'r', 'ize']	2-split	['be', '##fo', '##ol']	['con', '##tem', '##por', '##ize']	0-split
gull	v	underlay	v	0.1818181818181818	2-split	3.0	2.28	['gu', '##ll']	['under', '##lay']	1-split	['▁gull']	['▁under', 'lay']	2-split	['gu', '##ll']	['under', '##lay']	0-split
annul	v	trot	v	0.1818181818181818	2-split	2.49	3.21	['ann', '##ul']	['tr', '##ot']	1-split	['▁annul']	['▁', 'tro', 't']	2-split	['ann', '##ul']	['tr', '##ot']	0-split
requisition	v	vacillate	v	0.1818181818181818	2-split	2.69	1.77	['re', '##qui', '##sit', '##ion']	['va', '##ci', '##lla', '##te']	2-split	['▁', 're', 'quisition']	['▁', 'vac', 'illa', 'te']	2-split	['re', '##qui', '##sit', '##ion']	['va', '##ci', '##lla', '##te']	0-split
emphasise	v	plunder	v	0.1538461538461538	2-split	3.07	3.1	['emphasis', '##e']	['pl', '##under']	1-split	['▁emphasis', 'e']	['▁plunder']	2-split	['emphasis', '##e']	['pl', '##under']	0-split
connote	v	exfoliate	v	0.1428571428571428	2-split	1.97	2.39	['con', '##note']	['ex', '##folia', '##te']	2-split	['▁con', 'note']	['▁ex', 'folia', 'te']	2-split	['con', '##note']	['ex', '##folia', '##te']	0-split
effloresce	v	maul	v	0.1818181818181818	2-split	0.0	2.9	['e', '##ff', '##lore', '##sc', '##e']	['ma', '##ul']	2-split	['▁', 'eff', 'lore', 's', 'ce']	['▁', 'ma', 'ul']	2-split	['e', '##ff', '##lore', '##sc', '##e']	['ma', '##ul']	1-split
injure	v	overspend	v	0.1818181818181818	2-split	3.27	2.23	['in', '##jure']	['overs', '##pen', '##d']	1-split	['▁injure']	['▁over', 'spend']	2-split	['in', '##jure']	['overs', '##pen', '##d']	0-split
sniffle	v	unteach	v	0.1818181818181818	2-split	2.21	0.0	['sniff', '##le']	['un', '##tea', '##ch']	2-split	['▁sniff', 'le']	['▁', 'unt', 'each']	2-split	['sniff', '##le']	['un', '##tea', '##ch']	0-split
