Word	MorphoLexSegm	Roots
alf	{(alf)}	['alf']
alfa	{(alfa)}	['alfa']
alfresco	{(alfresco)}	['alfresco']
algebras	{(algebra)}	['algebra']
alger	{(alger)}	['alger']
algorithms	{(algorithm)}	['algorithm']
alia	{(alia)}	['alia']
aliases	{(alias)}	['alias']
alighted	{(alight)}	['alight']
alighting	{(alight)}	['alight']
alights	{(alight)}	['alight']
allegros	{(allegro)}	['allegro']
aliquots	{(aliquot)}	['aliquot']
alison	{(alison)}	['alison']
alizarin	{(alizarin)}	['alizarin']
allayed	{(allay)}	['allay']
allaying	{(allay)}	['allay']
allays	{(allay)}	['allay']
alleges	{(allege)}	['allege']
allegheny	{(allegheny)}	['allegheny']
allegrettos	{(allegretto)}	['allegretto']
alleluias	{(alleluia)}	['alleluia']
alleviated	{(alleviate)}	['alleviate']
alleviates	{(alleviate)}	['alleviate']
alligators	{(alligator)}	['alligator']
allots	{(allot)}	['allot']
alloyed	{(alloy)}	['alloy']
alloying	{(alloy)}	['alloy']
allured	{(allure)}	['allure']
allures	{(allure)}	['allure']
alluvial	{(alluvial)}	['alluvial']
alluvium	{(alluvium)}	['alluvium']
alluviums	{(alluvium)}	['alluvium']
allying	{(ally)}	['ally']
alma	{(alma)}	['alma']
almagest	{(almagest)}	['almagest']
almanacs	{(almanac)}	['almanac']
almoner	{(almoner)}	['almoner']
almoners	{(almoner)}	['almoner']
alopecia	{(alopecia)}	['alopecia']
alpaca	{(alpaca)}	['alpaca']
alpacas	{(alpaca)}	['alpaca']
alpenhorn	{(alpenhorn)}	['alpenhorn']
alpenhorns	{(alpenhorn)}	['alpenhorn']
alpenstock	{(alpenstock)}	['alpenstock']
alpenstocks	{(alpenstock)}	['alpenstock']
alpert	{(alpert)}	['alpert']
alphabets	{(alphabet)}	['alphabet']
alphas	{(alpha)}	['alpha']
alphonse	{(alphonse)}	['alphonse']
alsace	{(alsace)}	['alsace']
alsop	{(alsop)}	['alsop']
altars	{(altar)}	['altar']
althea	{(althea)}	['althea']
alton	{(alton)}	['alton']
altos	{(alto)}	['alto']
alumna	{(alumna)}	['alumna']
alumnus	{(alumnus)}	['alumnus']
alva	{(alva)}	['alva']
alvarez	{(alvarez)}	['alvarez']
alvin	{(alvin)}	['alvin']
alyssum	{(alyssum)}	['alyssum']
alyssums	{(alyssum)}	['alyssum']
amalgam	{(amalgam)}	['amalgam']
amalgams	{(amalgam)}	['amalgam']
amanuenses	{(amanuenses)}	['amanuenses']
amanuensis	{(amanuensis)}	['amanuensis']
amaryllis	{(amaryllis)}	['amaryllis']
amaryllises	{(amaryllis)}	['amaryllis']
amazes	{(amaze)}	['amaze']
ambergris	{(ambergris)}	['ambergris']
ambit	{(ambit)}	['ambit']
ambits	{(ambit)}	['ambit']
ambles	{(amble)}	['amble']
ambuscaded	{(ambuscade)}	['ambuscade']
ambuscades	{(ambuscade)}	['ambuscade']
ambushing	{(ambush)}	['ambush']
amends	{(amend)}	['amend']
ammoniac	{(ammoniac)}	['ammoniac']
amethysts	{(amethyst)}	['amethyst']
amir	{(amir)}	['amir']
amirs	{(amir)}	['amir']
amis	{(amis)}	['amis']
ammeter	{(ammeter)}	['ammeter']
amoebae	{(amoebae)}	['amoebae']
amoebas	{(amoeba)}	['amoeba']
amoebic	{(amoebic)}	['amoebic']
amos	{(amos)}	['amos']
amours	{(amour)}	['amour']
amperes	{(ampere)}	['ampere']
ampersands	{(ampersand)}	['ampersand']
amphora	{(amphora)}	['amphora']
amphoras	{(amphora)}	['amphora']
ampoule	{(ampoule)}	['ampoule']
ampoules	{(ampoule)}	['ampoule']
amps	{(amp)}	['amp']
amuses	{(amuse)}	['amuse']
ana	{(ana)}	['ana']
anabel	{(anabel)}	['anabel']
anaemia	{(anaemia)}	['anaemia']
anaemic	{(anaemic)}	['anaemic']
anaesthesia	{(anaesthesia)}	['anaesthesia']
analgesia	{(analgesia)}	['analgesia']
analgesic	{(analgesic)}	['analgesic']
analogue	{(analog)}	['analog']
analogues	{(analog)}	['analog']
analyse	{(analyse)}	['analyse']
anaplasmosis	{(anaplasmosis)}	['anaplasmosis']
anastomoses	{(anastomoses)}	['anastomoses']
anathema	{(anathema)}	['anathema']
anathemas	{(anathema)}	['anathema']
anastomosis	{(anastomosis)}	['anastomosis']
anastomotic	{(anastomotic)}	['anastomotic']
anchorite	{(anchorite)}	['anchorite']
anchorites	{(anchorite)}	['anchorite']
andantes	{(andante)}	['andante']
anders	{(anders)}	['anders']
anderson	{(anderson)}	['anderson']
anderson's	{(anderson)}	['anderson']
andiron	{(andiron)}	['andiron']
andirons	{(andiron)}	['andiron']
andorra	{(andorra)}	['andorra']
andrei	{(andrei)}	['andrei']
andrews	{(andrews)}	['andrews']
andromache	{(andromache)}	['andromache']
a's	{(a)}	['a']
abacuses	{(abacus)}	['abacus']
abandons	{(abandon)}	['abandon']
abashed	{(abash)}	['abash']
abashes	{(abash)}	['abash']
abashing	{(abash)}	['abash']
abates	{(abate)}	['abate']
abattoir	{(abattoir)}	['abattoir']
abattoirs	{(abattoir)}	['abattoir']
abbas	{(abbas)}	['abbas']
abbe	{(abbe)}	['abbe']
abbesses	{(abbess)}	['abbess']
abbeys	{(abbey)}	['abbey']
ziggy	{(ziggy)}	['ziggy']
zimmerman	{(zimmerman)}	['zimmerman']
zinnia	{(zinnia)}	['zinnia']
zinnias	{(zinnia)}	['zinnia']
zipping	{(zip)}	['zip']
zips	{(zip)}	['zip']
zircon	{(zircon)}	['zircon']
zircons	{(zircon)}	['zircon']
zither	{(zither)}	['zither']
zithers	{(zither)}	['zither']
zloty	{(zloty)}	['zloty']
zlotys	{(zloty)}	['zloty']
zodiacs	{(zodiac)}	['zodiac']
zoe	{(zoe)}	['zoe']
zonked	{(zonk)}	['zonk']
zoomed	{(zoom)}	['zoom']
zoos	{(zoo)}	['zoo']
zounds	{(zounds)}	['zounds']
zucchinis	{(zucchini)}	['zucchini']
wolff	{(wolff)}	['wolff']
wolff's	{(wolff)}	['wolff']
wolfing	{(wolf)}	['wolf']
wolfram	{(wolfram)}	['wolfram']
wolfs	{(wolf)}	['wolf']
wolverton	{(wolverton)}	['wolverton']
wombats	{(wombat)}	['wombat']
wombs	{(womb)}	['womb']
wonky	{(wonky)}	['wonky']
wonted	{(wont)}	['wont']
woodbury's	{(woodbury)}	['woodbury']
woodcock's	{(woodcock)}	['woodcock']
woodruff	{(woodruff)}	['woodruff']
woods's	{(woods)}	['woods']
wooing	{(woo)}	['woo']
wools	{(wool)}	['wool']
woomera	{(woomera)}	['woomera']
woos	{(woo)}	['woo']
worcestershire	{(worcestershire)}	['worcestershire']
worming	{(worm)}	['worm']
worships	{(worship)}	['worship']
worsting	{(worst)}	['worst']
worsts	{(worst)}	['worst']
wracked	{(wrack)}	['wrack']
wracking	{(wrack)}	['wrack']
wraiths	{(wraith)}	['wraith']
wrangles	{(wrangle)}	['wrangle']
wrappings	{(wrap)}	['wrap']
wreaked	{(wreak)}	['wreak']
wreaking	{(wreak)}	['wreak']
wreaks	{(wreak)}	['wreak']
wreathes	{(wreathe)}	['wreathe']
wreathing	{(wreath)}	['wreath']
wrecks	{(wreck)}	['wreck']
wrens	{(wren)}	['wren']
wrested	{(wrest)}	['wrest']
wresting	{(wrest)}	['wrest']
wrestled	{(wrestle)}	['wrestle']
wrests	{(wrest)}	['wrest']
wretches	{(wretch)}	['wretch']
wriggled	{(wriggle)}	['wriggle']
wriggles	{(wriggle)}	['wriggle']
wrights	{(wright)}	['wright']
wringing	{(wring)}	['wring']
writhes	{(writhe)}	['writhe']
wronging	{(wrong)}	['wrong']
wroth	{(wroth)}	['wroth']
wrung	{(wrung)}	['wrung']
wu	{(wu)}	['wu']
wyatt	{(wyatt)}	['wyatt']
wycombe	{(wycombe)}	['wycombe']
wylie	{(wylie)}	['wylie']
wyman	{(wyman)}	['wyman']
wyn	{(wyn)}	['wyn']
wynn	{(wynn)}	['wynn']
wynne	{(wynne)}	['wynne']
wyvern	{(wyvern)}	['wyvern']
wyverns	{(wyvern)}	['wyvern']
xeroxed	{(xerox)}	['xerox']
xeroxes	{(xerox)}	['xerox']
xeroxing	{(xerox)}	['xerox']
y	{(y)}	['y']
y'know	{y'(know)}	['know']
