	strategy	split-type	layer	model	accuracy	goldtrue_predicttrue	goldtrue_predictfalse	goldfalse_predicttrue	goldfalse_predictfalse
0	average	0-split-dev	0	google#electra-base-discriminator	0.5762004175365344	80	148	55	196
1	average	1-split-all	0	google#electra-base-discriminator	0.38461538461538464	0	72	0	45
2	average	2-split-all	0	google#electra-base-discriminator	0.48360655737704916	103	166	23	74
3	average	ALL	0	google#electra-base-discriminator	0.538905374216947	917	2116	681	2352
4	average	SAME	0	google#electra-base-discriminator	0.5422747861097131	917	1138	681	1238
5	average	DIFF	0	google#electra-base-discriminator	0.5325047801147228	0	978	0	1114
6	average	1-split-SAME	0	google#electra-base-discriminator		[]	[]	[]	[]
7	average	1-split-DIFF	0	google#electra-base-discriminator	0.38461538461538464	0	72	0	45
8	average	2-split-SAME	0	google#electra-base-discriminator	0.5072992700729927	103	112	23	36
9	average	2-split-DIFF	0	google#electra-base-discriminator	0.41304347826086957	0	54	0	38
10	average	0-split-dev-SAME	0	google#electra-base-discriminator	0.5897435897435898	80	73	55	104
11	average	0-split-dev-DIFF	0	google#electra-base-discriminator	0.5508982035928144	0	75	0	92
12	average	1-split-bal	0	google#electra-base-discriminator	0.5	0	45	0	45
13	average	2-split-bal	0	google#electra-base-discriminator	0.5773195876288659	38	59	23	74
14	average	0-split-dev	1	google#electra-base-discriminator	0.5469728601252609	116	112	105	146
15	average	1-split-all	1	google#electra-base-discriminator	0.38461538461538464	0	72	0	45
16	average	2-split-all	1	google#electra-base-discriminator	0.6475409836065574	198	71	58	39
17	average	ALL	1	google#electra-base-discriminator	0.5647873392680515	1623	1410	1230	1803
18	average	SAME	1	google#electra-base-discriminator	0.5817815802717665	1612	443	1219	700
19	average	DIFF	1	google#electra-base-discriminator	0.5325047801147228	11	967	11	1103
20	average	1-split-SAME	1	google#electra-base-discriminator		[]	[]	[]	[]
21	average	1-split-DIFF	1	google#electra-base-discriminator	0.38461538461538464	0	72	0	45
22	average	2-split-SAME	1	google#electra-base-discriminator	0.7299270072992701	189	26	48	11
23	average	2-split-DIFF	1	google#electra-base-discriminator	0.40217391304347827	9	45	10	28
24	average	0-split-dev-SAME	1	google#electra-base-discriminator	0.5448717948717948	116	37	105	54
25	average	0-split-dev-DIFF	1	google#electra-base-discriminator	0.5508982035928144	0	75	0	92
26	average	1-split-bal	1	google#electra-base-discriminator	0.5	0	45	0	45
27	average	2-split-bal	1	google#electra-base-discriminator	0.5824742268041238	74	23	58	39
28	average	0-split-dev	2	google#electra-base-discriminator	0.5887265135699373	139	89	108	143
29	average	1-split-all	2	google#electra-base-discriminator	0.4017094017094017	2	70	0	45
30	average	2-split-all	2	google#electra-base-discriminator	0.7295081967213115	250	19	80	17
31	average	ALL	2	google#electra-base-discriminator	0.6218265743488296	1856	1177	1117	1916
32	average	SAME	2	google#electra-base-discriminator	0.6419224962254655	1674	381	1042	877
33	average	DIFF	2	google#electra-base-discriminator	0.5836520076481836	182	796	75	1039
34	average	1-split-SAME	2	google#electra-base-discriminator		[]	[]	[]	[]
35	average	1-split-DIFF	2	google#electra-base-discriminator	0.4017094017094017	2	70	0	45
36	average	2-split-SAME	2	google#electra-base-discriminator	0.7883211678832117	213	2	56	3
37	average	2-split-DIFF	2	google#electra-base-discriminator	0.5543478260869565	37	17	24	14
38	average	0-split-dev-SAME	2	google#electra-base-discriminator	0.5897435897435898	129	24	104	55
39	average	0-split-dev-DIFF	2	google#electra-base-discriminator	0.5868263473053892	10	65	4	88
40	average	1-split-bal	2	google#electra-base-discriminator	0.5111111111111111	1	44	0	45
41	average	2-split-bal	2	google#electra-base-discriminator	0.5515463917525774	90	7	80	17
42	average	0-split-dev	3	google#electra-base-discriminator	0.6346555323590815	152	76	99	152
43	average	1-split-all	3	google#electra-base-discriminator	0.4358974358974359	8	64	2	43
44	average	2-split-all	3	google#electra-base-discriminator	0.7377049180327869	257	12	84	13
45	average	ALL	3	google#electra-base-discriminator	0.666831519947247	2030	1003	1018	2015
46	average	SAME	3	google#electra-base-discriminator	0.6761449421238047	1661	394	893	1026
47	average	DIFF	3	google#electra-base-discriminator	0.6491395793499044	369	609	125	989
48	average	1-split-SAME	3	google#electra-base-discriminator		[]	[]	[]	[]
49	average	1-split-DIFF	3	google#electra-base-discriminator	0.4358974358974359	8	64	2	43
50	average	2-split-SAME	3	google#electra-base-discriminator	0.7956204379562044	213	2	54	5
51	average	2-split-DIFF	3	google#electra-base-discriminator	0.5652173913043478	44	10	30	8
52	average	0-split-dev-SAME	3	google#electra-base-discriminator	0.6185897435897436	127	26	93	66
53	average	0-split-dev-DIFF	3	google#electra-base-discriminator	0.6646706586826348	25	50	6	86
54	average	1-split-bal	3	google#electra-base-discriminator	0.5333333333333333	5	40	2	43
55	average	2-split-bal	3	google#electra-base-discriminator	0.5515463917525774	94	3	84	13
56	average	0-split-dev	4	google#electra-base-discriminator	0.7098121085594989	175	53	86	165
57	average	1-split-all	4	google#electra-base-discriminator	0.49572649572649574	20	52	7	38
58	average	2-split-all	4	google#electra-base-discriminator	0.7349726775956285	259	10	87	10
59	average	ALL	4	google#electra-base-discriminator	0.6869436201780416	2129	904	995	2038
60	average	SAME	4	google#electra-base-discriminator	0.6914947156517363	1651	404	822	1097
61	average	DIFF	4	google#electra-base-discriminator	0.6782982791586998	478	500	173	941
62	average	1-split-SAME	4	google#electra-base-discriminator		[]	[]	[]	[]
63	average	1-split-DIFF	4	google#electra-base-discriminator	0.49572649572649574	20	52	7	38
64	average	2-split-SAME	4	google#electra-base-discriminator	0.791970802919708	212	3	54	5
65	average	2-split-DIFF	4	google#electra-base-discriminator	0.5652173913043478	47	7	33	5
66	average	0-split-dev-SAME	4	google#electra-base-discriminator	0.6762820512820513	128	25	76	83
67	average	0-split-dev-DIFF	4	google#electra-base-discriminator	0.7724550898203593	47	28	10	82
68	average	1-split-bal	4	google#electra-base-discriminator	0.5555555555555556	12	33	7	38
69	average	2-split-bal	4	google#electra-base-discriminator	0.5360824742268041	94	3	87	10
70	average	0-split-dev	5	google#electra-base-discriminator	0.7014613778705637	177	51	92	159
71	average	1-split-all	5	google#electra-base-discriminator	0.5384615384615384	27	45	9	36
72	average	2-split-all	5	google#electra-base-discriminator	0.7486338797814208	264	5	87	10
73	average	ALL	5	google#electra-base-discriminator	0.709858226178701	2191	842	918	2115
74	average	SAME	5	google#electra-base-discriminator	0.7138902868646201	1649	406	731	1188
75	average	DIFF	5	google#electra-base-discriminator	0.7021988527724665	542	436	187	927
76	average	1-split-SAME	5	google#electra-base-discriminator		[]	[]	[]	[]
77	average	1-split-DIFF	5	google#electra-base-discriminator	0.5384615384615384	27	45	9	36
78	average	2-split-SAME	5	google#electra-base-discriminator	0.7992700729927007	213	2	53	6
79	average	2-split-DIFF	5	google#electra-base-discriminator	0.5978260869565217	51	3	34	4
80	average	0-split-dev-SAME	5	google#electra-base-discriminator	0.6955128205128205	129	24	71	88
81	average	0-split-dev-DIFF	5	google#electra-base-discriminator	0.7125748502994012	48	27	21	71
82	average	1-split-bal	5	google#electra-base-discriminator	0.6	18	27	9	36
83	average	2-split-bal	5	google#electra-base-discriminator	0.5360824742268041	94	3	87	10
84	average	0-split-dev	6	google#electra-base-discriminator	0.6993736951983298	172	56	88	163
85	average	1-split-all	6	google#electra-base-discriminator	0.5384615384615384	32	40	14	31
86	average	2-split-all	6	google#electra-base-discriminator	0.7513661202185792	265	4	87	10
87	average	ALL	6	google#electra-base-discriminator	0.7103527860204418	2193	840	917	2116
88	average	SAME	6	google#electra-base-discriminator	0.7161550075490689	1621	434	694	1225
89	average	DIFF	6	google#electra-base-discriminator	0.6993307839388145	572	406	223	891
90	average	1-split-SAME	6	google#electra-base-discriminator		[]	[]	[]	[]
91	average	1-split-DIFF	6	google#electra-base-discriminator	0.5384615384615384	32	40	14	31
92	average	2-split-SAME	6	google#electra-base-discriminator	0.7956204379562044	213	2	54	5
93	average	2-split-DIFF	6	google#electra-base-discriminator	0.6195652173913043	52	2	33	5
94	average	0-split-dev-SAME	6	google#electra-base-discriminator	0.6955128205128205	123	30	65	94
95	average	0-split-dev-DIFF	6	google#electra-base-discriminator	0.7065868263473054	49	26	23	69
96	average	1-split-bal	6	google#electra-base-discriminator	0.5555555555555556	19	26	14	31
97	average	2-split-bal	6	google#electra-base-discriminator	0.5360824742268041	94	3	87	10
98	average	0-split-dev	7	google#electra-base-discriminator	0.7056367432150313	173	55	86	165
99	average	1-split-all	7	google#electra-base-discriminator	0.5641025641025641	35	37	14	31
100	average	2-split-all	7	google#electra-base-discriminator	0.7568306010928961	265	4	85	12
101	average	ALL	7	google#electra-base-discriminator	0.7044180679195516	2138	895	898	2135
102	average	SAME	7	google#electra-base-discriminator	0.7093608454957222	1582	473	682	1237
103	average	DIFF	7	google#electra-base-discriminator	0.6950286806883366	556	422	216	898
104	average	1-split-SAME	7	google#electra-base-discriminator		[]	[]	[]	[]
105	average	1-split-DIFF	7	google#electra-base-discriminator	0.5641025641025641	35	37	14	31
106	average	2-split-SAME	7	google#electra-base-discriminator	0.7956204379562044	213	2	54	5
107	average	2-split-DIFF	7	google#electra-base-discriminator	0.6413043478260869	52	2	31	7
108	average	0-split-dev-SAME	7	google#electra-base-discriminator	0.7051282051282052	125	28	64	95
109	average	0-split-dev-DIFF	7	google#electra-base-discriminator	0.7065868263473054	48	27	22	70
110	average	1-split-bal	7	google#electra-base-discriminator	0.5888888888888889	22	23	14	31
111	average	2-split-bal	7	google#electra-base-discriminator	0.5463917525773195	94	3	85	12
112	average	0-split-dev	8	google#electra-base-discriminator	0.6931106471816284	169	59	88	163
113	average	1-split-all	8	google#electra-base-discriminator	0.5641025641025641	34	38	13	32
114	average	2-split-all	8	google#electra-base-discriminator	0.7213114754098361	246	23	79	18
