word1	pos1	word2	pos2	wup_similarity	bert_split_class	freq1	freq2	bert_split_word1	bert_split_word2	xlnet_split_class	xlnet_split_word1	xlnet_split_word2	electra_split_class	electra_split_word1	electra_split_word2	fasttext_split_class
distastefulness	n	ovule	n	0.1333333333333333	2-split	0.0	1.76	['di', '##sta', '##ste', '##fulness']	['o', '##vu', '##le']	2-split	['▁distaste', 'fulness']	['▁', 'ov', 'ule']	2-split	['di', '##sta', '##ste', '##fulness']	['o', '##vu', '##le']	0-split
solicitation	n	vermin	n	0.1666666666666666	2-split	3.17	2.96	['sol', '##ici', '##tation']	['ve', '##rmin']	1-split	['▁solicitation']	['▁', 'ver', 'min']	2-split	['sol', '##ici', '##tation']	['ve', '##rmin']	0-split
bagman	n	winnings	n	0.125	2-split	2.06	3.24	['bag', '##man']	['winning', '##s']	2-split	['▁bag', 'man']	['▁winning', 's']	2-split	['bag', '##man']	['winning', '##s']	0-split
cortege	n	gasometer	n	0.125	2-split	2.17	1.66	['co', '##rte', '##ge']	['gas', '##ometer']	2-split	['▁', 'cor', 't', 'ege']	['▁gas', 'ometer']	2-split	['co', '##rte', '##ge']	['gas', '##ometer']	0-split
beading	n	exuberance	n	0.1428571428571428	2-split	2.48	2.79	['bea', '##ding']	['ex', '##uber', '##ance']	2-split	['▁be', 'ad', 'ing']	['▁ex', 'uber', 'ance']	2-split	['bea', '##ding']	['ex', '##uber', '##ance']	0-split
hajji	n	predomination	n	0.1333333333333333	2-split	2.16	0.0	['ha', '##j', '##ji']	['pre', '##dom', '##ination']	2-split	['▁ha', 'j', 'ji']	['▁pre', 'do', 'mination']	2-split	['ha', '##j', '##ji']	['pre', '##dom', '##ination']	0-split
communization	n	savory	n	0.1333333333333333	2-split	1.24	3.0	['com', '##mun', '##ization']	['sa', '##vor', '##y']	2-split	['▁', 'commun', 'ization']	['▁savor', 'y']	2-split	['com', '##mun', '##ization']	['sa', '##vor', '##y']	0-split
overturn	n	rifleman	n	0.1111111111111111	2-split	3.22	2.52	['over', '##turn']	['rifle', '##man']	1-split	['▁overturn']	['▁rifle', 'man']	2-split	['over', '##turn']	['rifle', '##man']	0-split
bedfellow	n	perverseness	n	0.1666666666666666	2-split	1.75	1.29	['bed', '##fell', '##ow']	['per', '##verse', '##ness']	2-split	['▁bed', 'fellow']	['▁per', 'verse', 'ness']	2-split	['bed', '##fell', '##ow']	['per', '##verse', '##ness']	0-split
pansy	n	smoothness	n	0.1818181818181818	2-split	2.77	2.85	['pan', '##sy']	['smooth', '##ness']	2-split	['▁pan', 's', 'y']	['▁smooth', 'ness']	2-split	['pan', '##sy']	['smooth', '##ness']	0-split
