	strategy	split-type	layer	model	accuracy	goldtrue_predicttrue	goldtrue_predictfalse	goldfalse_predicttrue	goldfalse_predictfalse
0	average	0-split-dev	0	lemma-google#electra-base-discriminator	0.5594989561586639	52	176	35	216
1	average	1-split-all	0	lemma-google#electra-base-discriminator	0.4017094017094017	9	63	7	38
2	average	2-split-all	0	lemma-google#electra-base-discriminator	0.40710382513661203	74	195	22	75
3	average	ALL	0	lemma-google#electra-base-discriminator	0.5344543356412793	698	2335	489	2544
4	average	SAME	0	lemma-google#electra-base-discriminator	0.5294413688978359	552	1503	367	1552
5	average	DIFF	0	lemma-google#electra-base-discriminator	0.5439770554493308	146	832	122	992
6	average	1-split-SAME	0	lemma-google#electra-base-discriminator		[]	[]	[]	[]
7	average	1-split-DIFF	0	lemma-google#electra-base-discriminator	0.4017094017094017	9	63	7	38
8	average	2-split-SAME	0	lemma-google#electra-base-discriminator	0.3905109489051095	65	150	17	42
9	average	2-split-DIFF	0	lemma-google#electra-base-discriminator	0.45652173913043476	9	45	5	33
10	average	0-split-dev-SAME	0	lemma-google#electra-base-discriminator	0.5480769230769231	36	117	24	135
11	average	0-split-dev-DIFF	0	lemma-google#electra-base-discriminator	0.5808383233532934	16	59	11	81
12	average	1-split-bal	0	lemma-google#electra-base-discriminator	0.4666666666666667	4	41	7	38
13	average	2-split-bal	0	lemma-google#electra-base-discriminator	0.5154639175257731	25	72	22	75
14	average	0-split-dev	1	lemma-google#electra-base-discriminator	0.592901878914405	123	105	90	161
15	average	1-split-all	1	lemma-google#electra-base-discriminator	0.5299145299145299	38	34	21	24
16	average	2-split-all	1	lemma-google#electra-base-discriminator	0.5846994535519126	179	90	62	35
17	average	ALL	1	lemma-google#electra-base-discriminator	0.5919881305637982	1636	1397	1078	1955
18	average	SAME	1	lemma-google#electra-base-discriminator	0.5978862606945143	1188	867	731	1188
19	average	DIFF	1	lemma-google#electra-base-discriminator	0.5807839388145315	448	530	347	767
20	average	1-split-SAME	1	lemma-google#electra-base-discriminator		[]	[]	[]	[]
21	average	1-split-DIFF	1	lemma-google#electra-base-discriminator	0.5299145299145299	38	34	21	24
22	average	2-split-SAME	1	lemma-google#electra-base-discriminator	0.6131386861313869	143	72	34	25
23	average	2-split-DIFF	1	lemma-google#electra-base-discriminator	0.5	36	18	28	10
24	average	0-split-dev-SAME	1	lemma-google#electra-base-discriminator	0.5801282051282052	85	68	63	96
25	average	0-split-dev-DIFF	1	lemma-google#electra-base-discriminator	0.6167664670658682	38	37	27	65
26	average	1-split-bal	1	lemma-google#electra-base-discriminator	0.5222222222222223	23	22	21	24
27	average	2-split-bal	1	lemma-google#electra-base-discriminator	0.4948453608247423	61	36	62	35
28	average	0-split-dev	2	lemma-google#electra-base-discriminator	0.5866388308977035	154	74	124	127
29	average	1-split-all	2	lemma-google#electra-base-discriminator	0.6068376068376068	58	14	32	13
30	average	2-split-all	2	lemma-google#electra-base-discriminator	0.7377049180327869	262	7	89	8
31	average	ALL	2	lemma-google#electra-base-discriminator	0.6510056050115397	2021	1012	1105	1928
32	average	SAME	2	lemma-google#electra-base-discriminator	0.6590337191746352	1458	597	758	1161
33	average	DIFF	2	lemma-google#electra-base-discriminator	0.635755258126195	563	415	347	767
34	average	1-split-SAME	2	lemma-google#electra-base-discriminator		[]	[]	[]	[]
35	average	1-split-DIFF	2	lemma-google#electra-base-discriminator	0.6068376068376068	58	14	32	13
36	average	2-split-SAME	2	lemma-google#electra-base-discriminator	0.7956204379562044	210	5	51	8
37	average	2-split-DIFF	2	lemma-google#electra-base-discriminator	0.5652173913043478	52	2	38	0
38	average	0-split-dev-SAME	2	lemma-google#electra-base-discriminator	0.5801282051282052	106	47	84	75
39	average	0-split-dev-DIFF	2	lemma-google#electra-base-discriminator	0.5988023952095808	48	27	40	52
40	average	1-split-bal	2	lemma-google#electra-base-discriminator	0.5222222222222223	34	11	32	13
41	average	2-split-bal	2	lemma-google#electra-base-discriminator	0.5154639175257731	92	5	89	8
42	average	0-split-dev	3	lemma-google#electra-base-discriminator	0.6659707724425887	168	60	100	151
43	average	1-split-all	3	lemma-google#electra-base-discriminator	0.6153846153846154	61	11	34	11
44	average	2-split-all	3	lemma-google#electra-base-discriminator	0.7349726775956285	262	7	90	7
45	average	ALL	3	lemma-google#electra-base-discriminator	0.6836465545664359	2163	870	1049	1984
46	average	SAME	3	lemma-google#electra-base-discriminator	0.6857070961248113	1520	535	714	1205
47	average	DIFF	3	lemma-google#electra-base-discriminator	0.6797323135755258	643	335	335	779
48	average	1-split-SAME	3	lemma-google#electra-base-discriminator		[]	[]	[]	[]
49	average	1-split-DIFF	3	lemma-google#electra-base-discriminator	0.6153846153846154	61	11	34	11
50	average	2-split-SAME	3	lemma-google#electra-base-discriminator	0.791970802919708	210	5	52	7
51	average	2-split-DIFF	3	lemma-google#electra-base-discriminator	0.5652173913043478	52	2	38	0
52	average	0-split-dev-SAME	3	lemma-google#electra-base-discriminator	0.6506410256410257	112	41	68	91
53	average	0-split-dev-DIFF	3	lemma-google#electra-base-discriminator	0.6946107784431138	56	19	32	60
54	average	1-split-bal	3	lemma-google#electra-base-discriminator	0.5333333333333333	37	8	34	11
55	average	2-split-bal	3	lemma-google#electra-base-discriminator	0.5154639175257731	93	4	90	7
56	average	0-split-dev	4	lemma-google#electra-base-discriminator	0.6868475991649269	172	56	94	157
57	average	1-split-all	4	lemma-google#electra-base-discriminator	0.6410256410256411	60	12	30	15
58	average	2-split-all	4	lemma-google#electra-base-discriminator	0.7377049180327869	262	7	89	8
59	average	ALL	4	lemma-google#electra-base-discriminator	0.6922189251566107	2187	846	1021	2012
60	average	SAME	4	lemma-google#electra-base-discriminator	0.696527428283845	1536	519	687	1232
61	average	DIFF	4	lemma-google#electra-base-discriminator	0.6840344168260039	651	327	334	780
62	average	1-split-SAME	4	lemma-google#electra-base-discriminator		[]	[]	[]	[]
63	average	1-split-DIFF	4	lemma-google#electra-base-discriminator	0.6410256410256411	60	12	30	15
64	average	2-split-SAME	4	lemma-google#electra-base-discriminator	0.7883211678832117	209	6	52	7
65	average	2-split-DIFF	4	lemma-google#electra-base-discriminator	0.5869565217391305	53	1	37	1
66	average	0-split-dev-SAME	4	lemma-google#electra-base-discriminator	0.6794871794871795	116	37	63	96
67	average	0-split-dev-DIFF	4	lemma-google#electra-base-discriminator	0.7005988023952096	56	19	31	61
68	average	1-split-bal	4	lemma-google#electra-base-discriminator	0.5666666666666667	36	9	30	15
69	average	2-split-bal	4	lemma-google#electra-base-discriminator	0.520618556701031	93	4	89	8
70	average	0-split-dev	5	lemma-google#electra-base-discriminator	0.6931106471816284	177	51	96	155
71	average	1-split-all	5	lemma-google#electra-base-discriminator	0.6324786324786325	60	12	31	14
72	average	2-split-all	5	lemma-google#electra-base-discriminator	0.7486338797814208	267	2	90	7
73	average	ALL	5	lemma-google#electra-base-discriminator	0.7182657434882954	2262	771	938	2095
74	average	SAME	5	lemma-google#electra-base-discriminator	0.7216909914443885	1579	476	630	1289
75	average	DIFF	5	lemma-google#electra-base-discriminator	0.7117590822179732	683	295	308	806
76	average	1-split-SAME	5	lemma-google#electra-base-discriminator		[]	[]	[]	[]
77	average	1-split-DIFF	5	lemma-google#electra-base-discriminator	0.6324786324786325	60	12	31	14
78	average	2-split-SAME	5	lemma-google#electra-base-discriminator	0.7992700729927007	213	2	53	6
79	average	2-split-DIFF	5	lemma-google#electra-base-discriminator	0.5978260869565217	54	0	37	1
80	average	0-split-dev-SAME	5	lemma-google#electra-base-discriminator	0.6987179487179487	122	31	63	96
81	average	0-split-dev-DIFF	5	lemma-google#electra-base-discriminator	0.6826347305389222	55	20	33	59
82	average	1-split-bal	5	lemma-google#electra-base-discriminator	0.5666666666666667	37	8	31	14
