word1	pos1	word2	pos2	wup_similarity	bert_split_class	freq1	freq2	bert_split_word1	bert_split_word2	xlnet_split_class	xlnet_split_word1	xlnet_split_word2	electra_split_class	electra_split_word1	electra_split_word2	fasttext_split_class
gyp	v	hemstitch	v	0.1428571428571428	2-split	2.03	0.0	['g', '##yp']	['hem', '##sti', '##tch']	2-split	['▁', 'gy', 'p']	['▁he', 'm', 'st', 'itch']	2-split	['g', '##yp']	['hem', '##sti', '##tch']	0-split
aggrandise	v	winterise	v	0.1666666666666666	2-split	0.0	0.0	['ag', '##gra', '##ndi', '##se']	['winter', '##ise']	2-split	['▁a', 'g', 'grand', 'ise']	['▁winter', 'ise']	2-split	['ag', '##gra', '##ndi', '##se']	['winter', '##ise']	1-split
cuckold	v	pooch	v	0.1428571428571428	2-split	2.85	2.97	['cu', '##cko', '##ld']	['po', '##och']	2-split	['▁c', 'uck', 'old']	['▁po', 'och']	2-split	['cu', '##cko', '##ld']	['po', '##och']	0-split
redline	v	swage	v	0.1818181818181818	2-split	2.66	1.57	['red', '##line']	['sw', '##age']	2-split	['▁red', 'line']	['▁', 's', 'w', 'age']	2-split	['red', '##line']	['sw', '##age']	0-split
bunco	v	rebuke	v	0.1333333333333333	2-split	1.76	3.1	['bun', '##co']	['re', '##bu', '##ke']	1-split	['▁', 'bun', 'co']	['▁rebuke']	2-split	['bun', '##co']	['re', '##bu', '##ke']	0-split
mistranslate	v	subluxate	v	0.1333333333333333	2-split	0.0	0.0	['mist', '##ran', '##sl', '##ate']	['sub', '##lux', '##ate']	2-split	['▁mis', 'trans', 'late']	['▁sub', 'lux', 'ate']	2-split	['mist', '##ran', '##sl', '##ate']	['sub', '##lux', '##ate']	1-split
pestle	v	protract	v	0.1666666666666666	2-split	2.54	1.35	['pest', '##le']	['pro', '##tra', '##ct']	2-split	['▁pest', 'le']	['▁pro', 'tract']	2-split	['pest', '##le']	['pro', '##tra', '##ct']	0-split
backspace	v	coronate	v	0.1818181818181818	2-split	2.18	1.23	['backs', '##pace']	['corona', '##te']	2-split	['▁back', 'space']	['▁', 'corona', 'te']	2-split	['backs', '##pace']	['corona', '##te']	0-split
bogey	v	exsert	v	0.1666666666666666	2-split	2.92	0.0	['bog', '##ey']	['ex', '##ser', '##t']	1-split	['▁bogey']	['▁ex', 's', 'ert']	2-split	['bog', '##ey']	['ex', '##ser', '##t']	1-split
jabber	v	unhitch	v	0.1818181818181818	2-split	2.26	1.28	['ja', '##bber']	['un', '##hit', '##ch']	2-split	['▁jab', 'ber']	['▁un', 'h', 'itch']	2-split	['ja', '##bber']	['un', '##hit', '##ch']	0-split
aggrade	v	prawn	v	0.1666666666666666	2-split	0.0	2.87	['ag', '##grade']	['pr', '##aw', '##n']	2-split	['▁a', 'g', 'grade']	['▁pr', 'awn']	2-split	['ag', '##grade']	['pr', '##aw', '##n']	1-split
befit	v	emcee	v	0.1818181818181818	2-split	2.07	2.73	['be', '##fi', '##t']	['em', '##ce', '##e']	2-split	['▁be', 'fit']	['▁em', 'ce', 'e']	2-split	['be', '##fi', '##t']	['em', '##ce', '##e']	0-split
